PVPenetrationPercent,ControlStrategy,VoltageDeviationReductionPercent,ViolationReductionPercent,LossReductionPercent,PVCurtailment_kWh,MinVoltage,MaxVoltage
80,none,0,0,0,0,0.951085657374924,1.04413344288756
80,voltvar,22.0682412151487,0,8.81334406916633,0,0.964680102054769,1.03506415641269
80,voltwatt,2.17322353918763,0,6.38639282185354,925.610071523738,0.951085657374924,1.03747757417137
80,hybrid,22.7121520971768,0,11.2223559694228,307.483042248908,0.964680102054769,1.0329529614465
80,hybrid_pso,50.4137080474581,0,16.0747480547976,2399.90281085272,0.97565271127922,1.01758619378815
100,none,0,0,0,0,0.951085657374924,1.06294877981008
100,voltvar,25.5318603461087,100,-1.70166746893036,0,0.965919799627821,1.04391424114975
100,voltwatt,5.82875492806314,100,17.5734013234018,2747.2945645758,0.951085657374924,1.04458220879956
100,hybrid,27.5742388879061,100,7.23833369400604,1135.78480017046,0.965919799627821,1.03690534660208
100,hybrid_pso,56.3578074962637,100,13.5844565188164,4022.1997680673,0.977341697080632,1.01895154676164
120,none,0,0,0,0,0.951085657374924,1.08104588848879
120,voltvar,29.7483489504678,80,-12.5258994277504,0,0.966907810951741,1.05066971981517
120,voltwatt,9.92400486734107,100,29.043096245837,5183.93176527186,0.951085657374924,1.04997846265735
120,hybrid,32.7064425462936,100,3.18636322567024,2075.01583783244,0.966907810951741,1.03925932689293
120,hybrid_pso,62.5040651613738,100,11.4099393969786,6134.01597022229,0.978655164427312,1.01686646254389
150,none,0,0,0,0,0.951085657374924,1.10698759108593
150,voltvar,35.1779487267769,71.1538461538462,-27.619239585693,0,0.968029051077539,1.05817397336639
150,voltwatt,16.4271438167683,71.1538461538462,43.40019304451,9650.19332179594,0.951085657374924,1.05586899911117
150,hybrid,39.1727389852887,100,-2.39453762231183,3686.50401247836,0.968029051077539,1.04146900374974
150,hybrid_pso,71.5196744989007,100,-2.22961255649681,9099.65620040554,0.9801628898547,1.01473000807522
180,none,0,0,0,0,0.951085657374924,1.13164551416215
180,voltvar,40.0498687131675,78.2608695652174,-38.220846398598,0,0.968837183094872,1.0666109856818
180,voltwatt,22.2828711439163,81.5217391304348,54.2981489639151,14853.7214599952,0.951085657374924,1.06024437778925
180,hybrid,45.387621285455,100,-6.82294771270888,5471.97278863412,0.968837183094872,1.04278624965741
180,hybrid_pso,76.0894065197873,100,-5.77776930178751,11859.4051503008,0.981302563919546,1.0120689995013
200,none,0,0,0,0,0.951085657374924,1.14744536307437
200,voltvar,42.4805649834114,82.1138211382114,-43.1518124808149,0,0.969277574126728,1.07302529672666
200,voltwatt,25.7745551084106,78.8617886178862,59.8775174136103,18578.8208766349,0.951085657374924,1.06258504469927
200,hybrid,48.6929301055554,100,-9.67431907798021,6629.92082862075,0.969277574126728,1.04341903556316
200,hybrid_pso,77.5762535192443,100,-9.04669677663476,14030.1298995193,0.981920810592918,1.01409611098506
