PVPenetrationPercent,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,TotalActiveLoss_kWh,MeanActiveLoss_kW,PVCurtailment_kWh,ResponseSettlingSteps,ResponseSettlingHours
80,none,0.0202036965966715,0.0489143426250763,0.951085657374924,1.04413344288756,0,1459.49671243474,60.812363018114,0,0,0
80,voltvar,0.0157450960973412,0.0353198979452307,0.964680102054769,1.03506415641269,0,1330.86624548969,55.4527602287372,0,0,0
80,voltwatt,0.0197646251064466,0.0489143426250763,0.951085657374924,1.03747757417137,0,1366.28751915662,56.9286466315257,925.610071523738,0,0
80,hybrid,0.0156150022963833,0.0353198979452307,0.964680102054769,1.0329529614465,0,1295.70679600329,53.9877831668036,307.483042248908,0,0
80,hybrid_pso,0.0100182639796313,0.02434728872078,0.97565271127922,1.01758619378815,0,1224.8862930428,51.0369288767833,2399.90281085272,0,0
100,none,0.0215754124754775,0.0629487798100805,0.951085657374924,1.06294877981008,15,1875.909037362,78.1628765567499,0,5,5
100,voltvar,0.0160668082931417,0.0439142411497515,0.965919799627821,1.04391424114975,0,1907.83077119751,79.4929487998963,0,0,0
100,voltwatt,0.0203178345575631,0.0489143426250763,0.951085657374924,1.04458220879956,0,1546.24801376441,64.4270005735171,2747.2945645758,0,0
100,hybrid,0.0156261566984382,0.0369053466020814,0.965919799627821,1.03690534660208,0,1740.12448144172,72.5051867267383,1135.78480017046,0,0
100,hybrid_pso,0.00941598304602302,0.0226583029193681,0.977341697080632,1.01895154676164,0,1621.07698984901,67.5448745770421,4022.1997680673,0,0
120,none,0.0234142954324343,0.0810458884887919,0.951085657374924,1.08104588848879,25,2417.18742739218,100.716142808007,0,5,5
120,voltvar,0.0164489291229003,0.0506697198151667,0.966907810951741,1.05066971981517,5,2719.96189352755,113.331745563648,0,5,5
120,voltwatt,0.0210906596140659,0.049978462657347,0.951085657374924,1.04997846265735,0,1715.1613564124,71.4650565171833,5183.93176527186,0,0
120,hybrid,0.0157563123492058,0.039259326892928,0.966907810951741,1.03925932689293,0,2340.16705611023,97.5069606712596,2075.01583783244,0,0
120,hybrid_pso,0.00877940895826902,0.021344835572688,0.978655164427312,1.01686646254389,0,2141.38780681535,89.2244919506394,6134.01597022229,0,0
150,none,0.0262753637807938,0.10698759108593,0.951085657374924,1.10698759108593,52,3444.02689283918,143.501120534966,0,7,7
150,voltvar,0.0170322297822121,0.0581739733663889,0.968029051077539,1.05817397336639,15,4395.24093176813,183.135038823672,0,5,5
150,voltwatt,0.0219590719841438,0.0558689991111676,0.951085657374924,1.05586899911117,15,1949.31257284214,81.2213572017558,9650.19332179594,5,5
150,hybrid,0.0159825841095084,0.0414690037497376,0.968029051077539,1.04146900374974,0,3526.49541251075,146.937308854615,3686.50401247836,0,0
150,hybrid_pso,0.00748330913136803,0.0198371101452999,0.9801628898547,1.01473000807522,0,3520.81534889105,146.700639537127,9099.65620040554,0,0
180,none,0.0294520782380486,0.131645514162155,0.951085657374924,1.13164551416215,92,4706.73304581594,196.113876908997,0,7,7
180,voltvar,0.0176565595704107,0.0666109856817954,0.968837183094872,1.0666109856818,20,6505.6862536493,271.070260568721,0,5,5
180,voltwatt,0.0228893095950588,0.0602443777892474,0.951085657374924,1.06024437778925,17,2151.06412526498,89.6276718860409,14853.7214599952,7,7
180,hybrid,0.0160844805066672,0.0427862496574147,0.968837183094872,1.04278624965741,0,5027.87098050875,209.494624187865,5471.97278863412,0,0
180,hybrid_pso,0.00704216669897397,0.0186974360804545,0.981302563919546,1.0120689995013,0,4978.67722285418,207.444884285591,11859.4051503008,0,0
200,none,0.0315661264732313,0.147445363074366,0.951085657374924,1.14744536307437,123,5669.21149019167,236.217145424653,0,9,9
200,voltvar,0.0181566576040245,0.0730252967266591,0.969277574126728,1.07302529672666,22,8115.57900157999,338.149125065833,0,5,5
200,voltwatt,0.0234300978097977,0.0625850446992744,0.951085657374924,1.06258504469927,26,2274.62839293775,94.7761830390731,18578.8208766349,7,7
200,hybrid,0.0161956545725896,0.0434190355631601,0.969277574126728,1.04341903556316,0,6217.66909895833,259.06954578993,6629.92082862075,0,0
200,hybrid_pso,0.00707830817415211,0.0180791894070821,0.981920810592918,1.01409611098506,0,6182.08786333545,257.586994305644,14030.1298995193,0,0
