PVPenetrationPercent,ControlStrategy,Time_h,LoadMultiplier,Irradiance,MinVoltage,MaxVoltage,MeanAbsVoltageDeviation,ActiveLoss_kW,VoltageViolationCount,PVCurtailment_kW,ReactivePower_kVAr
80,none,0,0.529999959541694,0,0.951085657374924,1,0.0278886723859942,55.0616476711541,0,0,0
80,none,1,0.52999967740537,0,0.951085684563017,1,0.0278886569359285,55.0615867645848,0,0,0
80,none,2,0.529997836439101,0,0.951085861967872,1,0.0278885561228019,55.0611893443371,0,0,0
80,none,3,0.529987794834851,0,0.951086829626831,1,0.0278880062351836,55.0590216312241,0,0,0
80,none,4,0.529942086375913,0,0.951091234300045,1,0.027885503208516,55.0491549820024,0,0,0
80,none,5,0.52976885719901,0,0.951107927126702,1,0.0278760172261601,55.0117703053834,0,0,0
80,none,6,0.529224034259796,0,0.951160424442476,1,0.0278461845891152,54.8942810472785,0,0,0
80,none,7,0.527808874421146,0.226097548585906,0.965706606558225,1,0.0186451736166218,29.8039348138959,0,0,0
80,none,8,0.524795793307557,0.466516495768404,0.97957402734207,1,0.0092464693797402,28.3764115911375,0,0,0
80,none,9,0.519603088401661,0.683020128377198,0.990984951777422,1.01768689365895,0.00566571060414201,47.3021641773779,0,0,0
80,none,10,0.512529042302071,1,0.997407850954385,1.04326932187104,0.0108411924158478,106.397250085014,0,0,0
80,none,11,0.505305990015821,1,0.997467071777879,1.04379454088242,0.0111846224915928,106.870628987809,0,0,0
80,none,12,0.50064182377663,1,0.997505303087933,1.04413344288756,0.0114062166736087,107.185574446628,0,0,0
80,none,13,0.50064182377663,1,0.997505303087933,1.04413344288756,0.0114062166736087,107.185574446628,0,0,0
80,none,14,0.505305990015821,1,0.997467071777879,1.04379454088242,0.0111846224915928,106.870628987809,0,0,0
80,none,15,0.512529042302071,0.683020128377198,0.991581519032337,1.0182217004674,0.0055316025611782,47.234385348716,0,0,0
80,none,16,0.519603088401661,0.466516495768404,0.98002165804158,1,0.00897752961207536,28.0231468228255,0,0,0
80,none,17,0.524795793307557,0.226097548585906,0.965987148392945,1,0.018484790251447,29.3832045207874,0,0,0
80,none,18,0.527808874421146,3.13914904970333e-18,0.951296761268219,1,0.0277687074631845,54.5897391499199,0,0,0
80,none,19,0.529224034259796,0,0.951160424442476,1,0.0278461845891152,54.8942810472785,0,0,0
80,none,20,0.52976885719901,0,0.951107927126702,1,0.0278760172261601,55.0117703053834,0,0,0
80,none,21,0.529942086375913,0,0.951091234300045,1,0.027885503208516,55.0491549820024,0,0,0
80,none,22,0.529987794834851,0,0.951086829626831,1,0.0278880062351836,55.0590216312241,0,0,0
80,none,23,0.529997836439101,0,0.951085861967872,1,0.0278885561228019,55.0611893443371,0,0,0
80,voltvar,0,0.529999959541694,0,0.964680102054769,1,0.0209760375669246,39.414240532302,0,0,609.706541883941
80,voltvar,1,0.52999967740537,0,0.964680116448094,1,0.0209760291772325,39.4141991287256,0,0,609.705916656076
80,voltvar,2,0.529997836439101,0,0.964680210365896,1,0.0209759744337018,39.4139289671643,0,0,609.701836985384
80,voltvar,3,0.529987794834851,0,0.964680722642942,1,0.0209756758337079,39.4124553844124,0,0,609.679584314279
80,voltvar,4,0.529942086375913,0,0.964683054473649,1,0.0209743166381014,39.4057482276448,0,0,609.578292453548
80,voltvar,5,0.52976885719901,0,0.964691891703459,1,0.0209691655227103,39.3803357589541,0,0,609.19441307846
80,voltvar,6,0.529224034259796,0,0.964719684548741,1,0.0209529653835212,39.3004810806589,0,0,607.98711296463
80,voltvar,7,0.527808874421146,0.226097548585906,0.970626874763499,1,0.0169010024795227,25.7360506647778,0,0,113.800409739746
80,voltvar,8,0.524795793307557,0.466516495768404,0.97957402734207,1,0.0092464693797402,28.3764115911375,0,0,0
80,voltvar,9,0.519603088401661,0.683020128377198,0.990984951777422,1.01768689365895,0.00566571060414201,47.3021641773779,0,0,0
80,voltvar,10,0.512529042302071,1,0.99730970910899,1.03455652701199,0.00814673562555479,122.521666842814,0,0,-291.344987435896
80,voltvar,11,0.505305990015821,1,0.997366416168965,1.03486502265659,0.00842158084623429,123.323237322661,0,0,-299.042500936795
80,voltvar,12,0.50064182377663,1,0.997403026916577,1.03506415641269,0.00859895511818112,123.847513115565,0,0,-304.011116858092
80,voltvar,13,0.50064182377663,1,0.997403026916577,1.03506415641269,0.00859895511818112,123.847513115565,0,0,-304.011116858092
80,voltvar,14,0.505305990015821,1,0.997366416168965,1.03486502265659,0.00842158084623429,123.323237322661,0,0,-299.042500936795
80,voltvar,15,0.512529042302071,0.683020128377198,0.991581519032337,1.0182217004674,0.0055316025611782,47.234385348716,0,0,0
