PVPenetrationPercent,IrradianceCondition,ControlStrategy,VoltageDeviationReductionPercent,ViolationReductionPercent,LossReductionPercent,PVCurtailment_kWh,MinVoltage,MaxVoltage
20,clear_sky,none,0,0,0,0,0.909425098377172,1
20,clear_sky,voltvar,13.5591568129625,52.1897810218978,19.6831263118197,0,0.928970762836815,1
20,clear_sky,voltwatt,0,0,0,0,0.909425098377172,1
20,clear_sky,hybrid,13.5591568129625,52.1897810218978,19.6831263118197,0,0.928970762836815,1
20,clear_sky,hybrid_pso,19.338769307337,63.8686131386861,25.8502373474734,0,0.929766059897417,1
20,low_irradiance,none,0,0,0,0,0.909425098377172,1
20,low_irradiance,voltvar,14.9312057883526,41.9753086419753,20.8131193811355,0,0.928970762836815,1
20,low_irradiance,voltwatt,0,0,0,0,0.909425098377172,1
20,low_irradiance,hybrid,14.9312057883526,41.9753086419753,20.8131193811355,0,0.928970762836815,1
20,low_irradiance,hybrid_pso,20.5558636515968,63.8888888888889,26.3808467847932,0,0.929766059897417,1
20,partial_cloud,none,0,0,0,0,0.909425098377172,1
20,partial_cloud,voltvar,14.0788515151719,54,20.2648536473696,0,0.928970762836815,1
20,partial_cloud,voltwatt,0,0,0,0,0.909425098377172,1
20,partial_cloud,hybrid,14.0788515151719,54,20.2648536473696,0,0.928970762836815,1
20,partial_cloud,hybrid_pso,19.995697840592,67,26.4423754336735,0,0.929766059897417,1
50,clear_sky,none,0,0,0,0,0.909425098377172,1
50,clear_sky,voltvar,23.6427089275362,79.3969849246231,27.2338668467299,0,0.944939421736939,1
50,clear_sky,voltwatt,0,0,0,0,0.909425098377172,1
50,clear_sky,hybrid,23.6427089275362,79.3969849246231,27.2338668467299,0,0.944939421736939,1
50,clear_sky,hybrid_pso,42.9773932863667,100,33.0153749894838,0,0.951272760928819,1
50,low_irradiance,none,0,0,0,0,0.909425098377172,1
50,low_irradiance,voltvar,26.0498667117669,83.3333333333333,29.9338308348735,0,0.944939421736939,1
50,low_irradiance,voltwatt,0,0,0,0,0.909425098377172,1
50,low_irradiance,hybrid,26.0498667117669,83.3333333333333,29.9338308348735,0,0.944939421736939,1
50,low_irradiance,hybrid_pso,44.8886660080472,100,31.8284184770245,0,0.951272760928819,1
50,partial_cloud,none,0,0,0,0,0.909425098377172,1
50,partial_cloud,voltvar,24.235758342976,79.5,28.6600151208948,0,0.944939421736939,1
50,partial_cloud,voltwatt,0,0,0,0,0.909425098377172,1
50,partial_cloud,hybrid,24.235758342976,79.5,28.6600151208948,0,0.944939421736939,1
50,partial_cloud,hybrid_pso,43.7298495935703,100,34.0080503817574,0,0.951272760928819,1
80,clear_sky,none,0,0,0,0,0.909425098377172,1.01455651670986
80,clear_sky,voltvar,29.9005664795001,100,25.6484870881068,0,0.951196200747356,1.01455651670986
80,clear_sky,voltwatt,0,0,0,0,0.909425098377172,1.01455651670986
80,clear_sky,hybrid,29.9005664795001,100,25.6484870881068,0,0.951196200747356,1.01455651670986
80,clear_sky,hybrid_pso,54.7247859873634,100,21.4952211760809,68.3165657312203,0.965059763585552,1.0124532305328
80,low_irradiance,none,0,0,0,0,0.909425098377172,1
80,low_irradiance,voltvar,31.133434352406,100,31.6603756150286,0,0.951196200747356,1
80,low_irradiance,voltwatt,0,0,0,0,0.909425098377172,1
80,low_irradiance,hybrid,31.133434352406,100,31.6603756150286,0,0.951196200747356,1
80,low_irradiance,hybrid_pso,56.170753636887,100,24.7523654823745,0,0.965059763585552,1
80,partial_cloud,none,0,0,0,0,0.909425098377172,1.00855641365599
80,partial_cloud,voltvar,29.2693681408032,100,27.4005277281419,0,0.951196200747356,1.00855641365599
80,partial_cloud,voltwatt,0,0,0,0,0.909425098377172,1.00855641365599
80,partial_cloud,hybrid,29.2693681408032,100,27.4005277281419,0,0.951196200747356,1.00855641365599
80,partial_cloud,hybrid_pso,55.0849937240017,100,24.7869375361765,0,0.965059763585552,1.00999247542437
