Scenario,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,MeanActiveLoss_kW,PVCurtailment_kWh
Normal_80PV_PartialCloud,none,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,88.3095622553101,0
Normal_80PV_PartialCloud,voltvar,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,64.1122761629431,0
Normal_80PV_PartialCloud,voltwatt,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,88.3095622553101,0
Normal_80PV_PartialCloud,hybrid,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,64.1122761629431,0
Normal_80PV_PartialCloud,hybrid_pso,0.0136732442524538,0.0349402364144481,0.965059763585552,1.00999247542437,0,66.4203262206155,0
Stress_150PV_ClearSky,none,0.0262753637807938,0.10698759108593,0.951085657374924,1.10698759108593,52,143.501120534966,0
Stress_150PV_ClearSky,voltvar,0.0170322297822121,0.0581739733663889,0.968029051077539,1.05817397336639,15,183.135038823672,0
Stress_150PV_ClearSky,voltwatt,0.0219590719841438,0.0558689991111676,0.951085657374924,1.05586899911117,15,81.2213572017558,9650.19332179594
Stress_150PV_ClearSky,hybrid,0.0159825841095084,0.0414690037497376,0.968029051077539,1.04146900374974,0,146.937308854615,3686.50401247836
Stress_150PV_ClearSky,hybrid_pso,0.00748330913136803,0.0198371101452999,0.9801628898547,1.01473000807522,0,146.700639537127,9099.65620040554
