OptimizationScenario,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,TotalActiveLoss_kWh,PVCurtailment_kWh
normal_80pct_partial_cloud,hybrid_default,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,1538.69462791063,0
normal_80pct_partial_cloud,hybrid_pso,0.013671750980321,0.0349402364144481,0.965059763585552,1.00901011587122,0,1594.84446353054,0
stress_100pct_clear_low_daytime,hybrid_default,0.0170069993170953,0.0458820346691338,0.954117965330866,1.04402128466431,0,1588.60877094341,152.223176655521
stress_100pct_clear_low_daytime,hybrid_pso,0.0122317814077285,0.0497952810455875,0.965331660653599,1.04979528104559,0,1671.64848694463,401.141274898915
