Scenario,ObjectiveContribution,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,VoltageViolationCount,OvervoltageCount,UndervoltageCount,Loss_kWh,Curtailment_kWh,ReactiveUsage_kVArh,MaxVoltage,MinVoltage
normal_80_partial_cloud,15.1811533671567,0.00830871310377806,0.0170144007870104,0,0,0,91.0506265280276,0,3320.16893229365,1.00999247542437,0.98298559921299
stress_120_clear,7.58501377396074,0.00435543577455385,0.0165352419838514,0,0,0,650.915213149684,2831.45581663403,3159.27179019032,1.01653524198385,0.997034698837671
stress_150_clear,4.71357087633338,0.00274195318324827,0.0120685711233479,0,0,0,1261.77582386029,4217.03257599646,6167.35350222922,1.01206857112335,0.996056347526241
stress_low_load_high_pv,3.6760784170488,0.00265349612490913,0.009123350902841,0,0,0,1925.13145164994,5488.7428556558,8456.05035933895,1.00912335090284,0.996171477604021
