Iteration,BestObjective
0,13.0754298971136
1,11.6475677438966
2,10.7668550937577
3,10.1049394031806
4,9.64064672966188
5,9.20448652158815
6,8.52643689998565
7,8.04314401323195
8,7.7889541086249
